Tên dự án,Giá,Diện tích,Phòng ngủ,Phòng vệ sinh,Vị trí,Định Vị,Latitude,Longitude,Total_Amenities,Average_Distance_All,Average_Distance_Hospital,Average_Distance_School,Average_Distance_Restaurant,Average_Distance_Attraction,Average_Distance_Public_Transport
"Bán căn hộ 2PN 2WC chung cư Swanlake The Onsen Ecopark. 72m2 view hồ sân golf tòa R2 giá 5,1 tỷ","5,1 tỷ",72 m²,2,2,"Văn Giang, Hưng Yên"," Xã Xuân Quan,  Văn Giang,  Hưng Yên",20.9577012,105.9161321,2,1.9865893852096135,0.0,0.0,1.9865893852096135,0.0,0.0
"Bán nhà 7tầng,phố Trạm,60m,thang máy,gara 2 ô tô,kinh doanh đa dạng,nội thất sang sịn,16xty","16,8 tỷ",60 m²,4,7,"Long Biên, Hà Nội","Đường Phố Trạm, Phường Long Biên, Long Biên, Hà Nội",21.0209967,105.8862185,12,1.7578726083657266,0.0,0.0,1.7578726083657266,0.0,0.0
"Bán nhà Trần Thái Tông, Nhà mới - Full nội thất, 5T - Hiện Đại, Giá: 6 tỷ",6 tỷ,30 m²,3,4,"Cầu Giấy, Hà Nội","Đường Trần Thái Tông, Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội",21.0365503,105.7858195,209,1.4807988204804365,1.8622805902899142,1.7312761798467937,1.2906149298151541,2.1332213266587234,0.0
"Bán nhà rẻ nhất KV Yên Nghĩa, chỉ 3.25 tỷ sở hữu căn 4 tầng, 32m2 ngõ thông ô tô đỗ cửa. 0966 929 ***","3,25 tỷ",32 m²,4,4,"Hà Đông, Hà Nội","Phường Yên Nghĩa, Hà Đông, Hà Nội",20.951446,105.7351127,2,1.9697079233112464,0.0,0.0,1.9697079233112464,0.0,0.0
"Tôi bán gấp: Căn 4T, DT: 109M2, MT:7M.Đ/C: KĐT Đặng Xá, Gia Lâm, HN. Cho thuê dòng tiền ổn định .",14 tỷ,109 m²,5,5,"Gia Lâm, Hà Nội"," Đường Nguyễn Đức Thuận,  Xã Đặng Xá,  Gia Lâm,  Hà Nội",21.01193795,105.9511607,10,2.0656240284074228,0.0,1.550783310516024,2.1967121093832516,2.177688897359422,0.0
"Chính chủ cần chuyển đổi căn rộng hơn nên bán gấp căn 2PN1VS giá 3,62 tỷ full nội thất mơi cao cấp","3,62 tỷ","55,2 m²",2,1,"Nam Từ Liêm, Hà Nội"," Đường Đại lộ Thăng Long,  Phường Tây Mỗ,  Nam Từ Liêm,  Hà Nội",21.0090956,105.7462871,9,1.5048005805010258,0.8027841397559079,1.3689417339061958,1.9582252738645058,1.956135921685312,0.0
"Hiếm! Chỉ 8,8 tỷ sở hữu ngay căn 4PN + 3VS, DT: 129,4m2 BC: ĐN, rẻ nhất dự án Vinhomes West Point","8,8 tỷ","129,4 m²",4,3,"Nam Từ Liêm, Hà Nội"," Đường Phạm Hùng,  Phường Mễ Trì,  Nam Từ Liêm,  Hà Nội",21.01417304,105.784808,100,1.722849379447433,0.0,2.1327294739453024,1.7012767428949138,0.0,0.0
"Chỉ với 7,95 tỷ có ngay nhà dòng tiền 35tr/tháng ở Trịnh Văn Bô, Nam Từ Liêm; DT 54m2 x 4 tầng","7,95 tỷ",54 m²,9,9,"Nam Từ Liêm, Hà Nội","Đường Trịnh Văn Bô, Phường Phương Canh, Nam Từ Liêm, Hà Nội",21.0420791,105.7313997,18,1.4202388852887244,1.6631757558655251,1.4848885536594552,1.3954231381341737,0.0,0.0
"Chính chủ bán căn studio tòa G3 Vinhomes Green Bay Mễ Trì - Giá 1,75 tỷ view siêu đẹp - 0974 121 ***","1,75 tỷ","28,2 m²",1,1,"Nam Từ Liêm, Hà Nội"," Đường Đại lộ Thăng Long,  Phường Mễ Trì,  Nam Từ Liêm,  Hà Nội",21.01930277,105.78074,114,1.8632097795399378,1.8452307364957885,2.494613448532542,1.8577327739511127,0.0,0.0
Quỹ căn Hoàng Thành Pearl giá từ 6 tỷ sở hữu 2-3PN DT 80m2-108m2-114m2 full đồ LH 0983 051 ***,6 tỷ,80 m²,2,2,"Nam Từ Liêm, Hà Nội","Hoàng Thành Pearl, Nguyễn Văn Giáp, Cầu Diễn, Nam Từ Liêm, Hà Nội",21.02369542,105.7552656,16,2.012365795154671,2.1756491925642103,2.3403090112802447,1.9231769946306954,0.0,0.0
The Pride quỹ căn 2PN DT 70 - 73 - 75m2 giá cực tốt full NT sổ đỏ liên hệ Đăng 0983 051 ***,"3,6 tỷ",73 m²,2,2,"Hà Đông, Hà Nội"," Đường Tố Hữu,  Phường La Khê,  Hà Đông,  Hà Nội",20.9696783,105.7601018,18,1.813510386072669,1.9198744104414227,0.0,1.799015280499752,1.818208920928921,0.0
"Rẻ nhất Văn Phú! Lô góc 130m nhỉnh 36 Tỷ, 2 mặt phố, trục chính Lacasta, KD đỉnh, Mở cửa đếm tiền",Giá thỏa thuận,130 m²,4,4,"Hà Đông, Hà Nội","Khu đô thị mới Văn Phú, Lê Trọng Tấn, Phú La, Hà Đông, Hà Nội",20.9580348,105.7641533,15,1.7558260318761236,1.8820871344087777,0.0,1.6938339210532918,2.4354623700402795,0.0
"Siêu hiếm !!!! Nhà NGUYỄN SƠN , LONG BIÊN - KINH DOANH - VĂN PHÒNG. LÔ GÓC - ÔTÔ TRÁNH. GIÁ 19X TỶ","19,45 tỷ",74 m²,4,4,"Long Biên, Hà Nội","Đường Nguyễn Sơn, Phường Gia Thụy, Long Biên, Hà Nội",21.04544016,105.8810842,31,1.4090008277507158,1.6612447009665452,1.3673210562239764,1.373314304710895,1.9217154718947997,0.0
Càn bán căn 1 ngủ toà B westbay tầng cao view thoáng giá 2.180 tỷ bao phí Lh 0961 694 ***,"2,18 tỷ",45 m²,1,1,"Văn Giang, Hưng Yên","Westbay Sky Residences - Ecopark , Xã Phụng Công, Văn Giang, Hưng Yên",20.9478817,105.9237285,1,1.0755036058198493,0.0,0.0,1.0755036058198493,0.0,0.0
Căn Hộ Cao Cấp Masteri Grand View Quận 2 Mặt Tiền Liên Phường 3PN 2WC Góc 2 Mặt Tiền View Đẹp,"11,18 tỷ","113,5 m²",3,2,"Quận 2, Hồ Chí Minh","Masteri Grand View, Liên Phường, An Phú, Quận 2, Hồ Chí Minh",10.795478,106.7365254,134,1.50866230411857,0.37375579876362613,1.2375850546896163,1.5466215891554043,1.7530381281439127,0.0
"Bán nhà khu giãn dân Mỗ Lao, Hà Đông, diện tích 45m2, 4 tầng, hơn 7 tỷ, cách ô tô tránh 20m",Giá thỏa thuận,45 m²,3,3,"Hà Đông, Hà Nội","Đường Vũ Trọng Khánh, Phường Mỗ Lao, Hà Đông, Hà Nội",20.9821715,105.7842539,32,1.5678301750677546,1.5468325431351557,1.9060471647189758,1.5147334918128788,1.0967637348270365,0.0
"Bán nhà 3 tầng mặt tiền kinh doanh đường 2/4, P vĩnh Phước. Thuận tiện vừa kinh doanh buôn bán","7,8 tỷ","58,5 m²",3,3,"Nha Trang, Khánh Hòa","Đường 2/4, Phường Vĩnh Phước, Nha Trang, Khánh Hòa",12.27059546,109.1975539,69,1.4514500110479935,2.279117287149379,1.9529055912489524,1.4445001882536626,0.7585551222149314,0.0
"Bán nhà 4 tầng vị trí kim cương Đường Thanh Bình, Mỗ Lao - Hà Đông","12,5 tỷ",32 m²,3,4,"Hà Đông, Hà Nội","Đường Thanh Bình, Phường Mỗ Lao, Hà Đông, Hà Nội",20.98078611,105.7788172,29,1.5229251991904393,1.3902599545633703,2.027160017871106,1.4991735323221997,0.5116802403408434,0.0
"KĐG Ngô Thì Nhậm, Hà Đông 46m 5 tầng thang máy, Ô tô vào nhà Giá hơn 11 tỷ","11,29 tỷ",46 m²,6,4,"Hà Đông, Hà Nội","Đường Ngô Thì Nhậm, Phường Hà Cầu, Hà Đông, Hà Nội",20.9649387,105.7782818,29,1.2605090794313987,1.0330918693586435,1.6966085832945934,1.1092706178514806,1.654482537170208,0.0
"Chính chủ cần bán nhà phố Ngô Thì Nhậm, Hà Đông, DT 45m2, 4 tầng, ô tô, nhỉnh 8 tỷ",8 tỷ,45 m²,4,3,"Hà Đông, Hà Nội","Đường Ngô Thì Nhậm, Phường Hà Cầu, Hà Đông, Hà Nội",20.9649387,105.7782818,29,1.2605090794313987,1.0330918693586435,1.6966085832945934,1.1092706178514806,1.654482537170208,0.0
"Bán nhà MT Trần Quang Khải (4,6mx34m, 130m2), C4 giá 41 tỷ TL",41 tỷ,130 m²,1,1,"Quận 1, Hồ Chí Minh","Đường Trần Quang Khải, Phường Tân Định, Quận 1, Hồ Chí Minh",10.79154216,106.6891095,666,1.6863587223789809,1.8079987300931184,1.6437036746643352,1.6822996572972675,1.8831058578995028,0.0
"Mặt phố chính Văn Phú, 79m2x5T nhỉnh 21 Tỷ, Hàng xóm La Casta, View CV, KD 24/7, Xe tải tránh",Giá thỏa thuận,79 m²,5,5,"Hà Đông, Hà Nội"," Phường Phú La,  Hà Đông,  Hà Nội",20.9580348,105.7641533,15,1.7558260318761236,1.8820871344087777,0.0,1.6938339210532918,2.4354623700402795,0.0
+ Bán nhà 6.2m2-3 tầng-CMT8 P13Q10--1.25 tỷ,"1,25 tỷ",6 m²,2,1,"Quận 10, Hồ Chí Minh","Đường Cách Mạng Tháng Tám, Phường 13, Quận 10, Hồ Chí Minh",10.7793424,106.6706065,485,1.7066978542807194,1.8623545352492177,1.6927927787710115,1.7054526725261783,1.6224249753962552,0.0
"Chính chủ gửi bán nhà khu lk Ngô Thì Nhậm, Hà Đông 51m2 ô tô vào nhà, 2 mặt thoáng chỉ hơn 9 tỷ","9,95 tỷ",51 m²,3,2,"Hà Đông, Hà Nội","Đường Ngô Thì Nhậm, Phường Hà Cầu, Hà Đông, Hà Nội",20.9649387,105.7782818,29,1.2605090794313987,1.0330918693586435,1.6966085832945934,1.1092706178514806,1.654482537170208,0.0
