Tên dự án,Giá,Diện tích,Phòng ngủ,Phòng vệ sinh,Vị trí,Định Vị,Latitude,Longitude,Total_Amenities,Average_Distance_All,Average_Distance_Hospital,Average_Distance_School,Average_Distance_Restaurant,Average_Distance_Attraction,Average_Distance_Public_Transport
"Bán nhà mặt phố đẹp 7 tầng có thang máy tại Lạc Long Quân, 13.9 tỷ, 75m2, Tân Bình, HCM","13,9 tỷ",75 m²,11,12,"Tân Bình, Hồ Chí Minh","Đường Lạc Long Quân, Phường 8, Tân Bình, Hồ Chí Minh",10.78315903,106.6499368,0,0.0,0.0,0.0,0.0,0.0,0.0
"Giỏ hàng thật 100% bán lỗ 3PN Celesta Rise Keppel Land DT 105m2 thô bán 5,7tỷ giá 102% - HTCB 6,2tỷ","5,7 tỷ",105 m²,3,2,"Nhà Bè, Hồ Chí Minh"," Đường Nguyễn Hữu Thọ,  Xã Phước Kiển,  Nhà Bè,  Hồ Chí Minh",10.71772076,106.7026202,0,0.0,0.0,0.0,0.0,0.0,0.0
"Chủ cần tiền nhờ bán căn nhà Tôn Đức Thắng-Đống Đa, nhà mặt ngõ, gần ngay phố, giá nhỉnh 12 tỷ","12,9 tỷ",60 m²,4,4,"Đống Đa, Hà Nội","Phố Tôn Đức Thắng, Phường Hàng Bột, Đống Đa, Hà Nội",21.02216763,105.8315756,0,0.0,0.0,0.0,0.0,0.0,0.0
"Chính chủ bán nhà Mỹ Đình 35m2 - 4 tầng - 4 ngủ - 6,55 tỷ","6,55 tỷ",35 m²,4,3,"Nam Từ Liêm, Hà Nội","Ngõ 52, đường Mỹ Đình, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội",21.02250991,105.7745777,0,0.0,0.0,0.0,0.0,0.0,0.0
Bán CH duplex 3Pn The Infinity Q7 Keppel DT~146m2 view hồ bơi mát giá 10ty5- xem nhà mẫu 0933 776 ***,"10,5 tỷ","145,4 m²",3,3,"Quận 7, Hồ Chí Minh","The Infiniti Riviera Point, Đường Huỳnh Tấn Phát, Phường Tân Phú, Quận 7, Hồ Chí Minh",10.72606433,106.7338333,0,0.0,0.0,0.0,0.0,0.0,0.0
"Đầu tư đợt 1 căn hộ ven sông The Gió Riverside, liền kề Metro. Thanh toán 1%/th. HTLS 24 tháng",Giá thỏa thuận,65 m²,2,2,"Dĩ An, Bình Dương"," Đường D16,  Phường Bình Thắng,  Dĩ An,  Bình Dương",10.894016,106.8171559,0,0.0,0.0,0.0,0.0,0.0,0.0
"Bán nhà 3 tầng Lâm Văn Bền, Q7 60m2 giá 9,5 tỷ","9,5 tỷ",60 m²,4,3,"Quận 7, Hồ Chí Minh","Đường Lâm Văn Bền, Phường Tân Kiểng, Quận 7, Hồ Chí Minh",10.74870944,106.7147551,0,0.0,0.0,0.0,0.0,0.0,0.0
Căn hộ STown Gateway - Sổ hồng riêng sở hữu lâu dài - Phòng Kinh Doanh Chủ Đầu Tư: 0909 056 ***,"1,7 tỷ",50 m²,2,1,"Thuận An, Bình Dương"," Đường Quốc Lộ 13,  Phường Vĩnh Phú,  Thuận An,  Bình Dương",10.8723579,106.7047852,0,0.0,0.0,0.0,0.0,0.0,0.0
"Bán căn hộ TT AVIO Nhật Bản ngay Vincom Dĩ An, Trả góp chỉ 9tr/tháng, căn 2PN giá từ 1,23 tỷ/căn","1,23 tỷ",40 m²,2,1,"Dĩ An, Bình Dương"," Đường Tỉnh lộ 743C,  Phường Tân Đông Hiệp,  Dĩ An,  Bình Dương",10.9214709,106.7668045,0,0.0,0.0,0.0,0.0,0.0,0.0
Tha hồ lựa chọn Alacarte Hạ Long giá rẻ - Mua nhà được tư vấn miễn phí vận hành kinh doanh cho thuê,Giá thỏa thuận,50 m²,1,1,"Hạ Long, Quảng Ninh"," Phường Hùng Thắng,  Hạ Long,  Quảng Ninh",20.959893,107.0032197,0,0.0,0.0,0.0,0.0,0.0,0.0
"Bán nhà riêng tại Liên khu 4 - 5, 2,45 tỷ, 33m2, 2PN, 2WC, pháp lý đầy đủ","2,45 tỷ",35 m²,2,2,"Bình Tân, Hồ Chí Minh","Đường Liên khu 4-5, Phường Bình Hưng Hòa B, Bình Tân, Hồ Chí Minh",10.79972103,106.5849349,0,0.0,0.0,0.0,0.0,0.0,0.0
"Bán gấp nhà mặt tiền 57 - 59 Nguyễn Văn Kỉnh, Thạnh Mỹ Lợi, Q2, HCM. 16x20m, 8 tầng. Giá 215 tỷ VND",215 tỷ,320 m²,7,7,"Quận 2, Hồ Chí Minh","57-59 Đường Nguyễn Văn Kỉnh, Phường Thạnh Mỹ Lợi, Quận 2, Hồ Chí Minh",10.77073175,106.7702559,0,0.0,0.0,0.0,0.0,0.0,0.0
"Bán nhà mặt tiền đường 494, nhà 1T/3 lầu, P. Tăng Nhơn Phú A, gần Lê văn Việt","12,5 tỷ",105 m²,5,5,"Quận 9, Hồ Chí Minh","Đường 494, Phường Tăng Nhơn Phú A, Quận 9, Hồ Chí Minh",10.7589554,106.6730492,0,0.0,0.0,0.0,0.0,0.0,0.0
"Bán nhà phố, bán biệt thự khu Euro Village, vị trí đắc địa bậc nhất Đà Nẵng",Giá thỏa thuận,100 m²,4,5,"Sơn Trà, Đà Nẵng"," Đường Ngô Quyền,  Phường An Hải Nam,  Sơn Trà,  Đà Nẵng",16.05758577,108.2353886,0,0.0,0.0,0.0,0.0,0.0,0.0
PKD Privia cập nhật full giỏ hàng 100 căn giá tốt nhất TT studio-2.5t/1PN-3t/2PN-3.9t/3PN-4.75t,"3,05 tỷ",51 m²,1,1,"Bình Tân, Hồ Chí Minh"," Đường An Dương Vương,  Phường An Lạc,  Bình Tân,  Hồ Chí Minh",10.7223892,106.6197111,0,0.0,0.0,0.0,0.0,0.0,0.0
"Bán căn hộ 3PN góc, 95m2, giá 7.9 tỷ tại Thống Nhất Complex, 82 Nguyễn Tuân","7,9 tỷ",95 m²,3,2,"Thanh Xuân, Hà Nội","Thống Nhất Complex, 82, Đường Nguyễn Tuân, Phường Thanh Xuân Trung, Thanh Xuân, Hà Nội",20.9966132,105.8050345,0,0.0,0.0,0.0,0.0,0.0,0.0
Siêu phẩm đầu tư ngay ga Metro Bình Thái - Nhà 3T 108m2 (4.6m x 23m) đường oto 11m thông có vỉa hè,"10,8 tỷ",108 m²,3,3,"Thủ Đức, Hồ Chí Minh","Đường Nguyễn Văn Bá, Phường Trường Thọ, Thủ Đức, Hồ Chí Minh",10.81726087,106.7571999,0,0.0,0.0,0.0,0.0,0.0,0.0
"Bán Nhà phố, biệt thự Cityland Park Hills phường 10 Gò Vấp, nhiều mặt hàng quý khách lựa chọn",Giá thỏa thuận,100 m²,6,6,"Gò Vấp, Hồ Chí Minh","CityLand Park Hills, 18, Đường Phan Văn Trị, Phường 10, Gò Vấp, Hồ Chí Minh",10.8346595,106.6673191,0,0.0,0.0,0.0,0.0,0.0,0.0
Nhỉnh 6tỷ có ngay nhà phố Nguyễn Văn Cừ DT 55m2 - giá hiếm người bán,"6,6 tỷ",55 m²,3,3,"Long Biên, Hà Nội","Đường Nguyễn Văn Cừ, Phường Long Biên, Long Biên, Hà Nội",21.04122651,105.8694521,0,0.0,0.0,0.0,0.0,0.0,0.0
"Độc quyền hàng hiếm 4PN - 154m2 - The Senique HaNoi, view Panorama hướng hồ cực chất LH 0976 037 ***",Giá thỏa thuận,154 m²,4,3,"Gia Lâm, Hà Nội"," Xã Dương Xá,  Gia Lâm,  Hà Nội",21.0046345,105.970087,0,0.0,0.0,0.0,0.0,0.0,0.0
"Bán CHCC chung cư iris Garden - 30 Trần Hữu Dực, Liên hệ xem nhà: 0989 324 *** em Châu","4,3 tỷ",62 m²,2,2,"Nam Từ Liêm, Hà Nội","Iris Garden, 30, Đường Trần Hữu Dực, Phường Cầu Diễn, Nam Từ Liêm, Hà Nội",21.0345973,105.7625765,0,0.0,0.0,0.0,0.0,0.0,0.0
Siêu phẩm căn hộ cao cấp - view sông Hàn pháo hoa độc nhất Đà Nẵng chiết khấu lên đến 21%,"8,96 tỷ","70,1 m²",2,2,"Sơn Trà, Đà Nẵng"," Đường Trần Hưng Đạo,  Phường Nại Hiên Đông ,  Sơn Trà,  Đà Nẵng",16.08516825,108.2288678,0,0.0,0.0,0.0,0.0,0.0,0.0
"Mở bán khu biệt thự với 41 căn đồng bộ kiến trúc Pháp đang hoàn thiện tại Đà Lạt, giá F0",18 tỷ,200 m²,6,6,"Đà Lạt, Lâm Đồng","Đường Trịnh Hoài Đức, Phường 11, Đà Lạt, Lâm Đồng",11.946348,108.4909235,0,0.0,0.0,0.0,0.0,0.0,0.0
"3PN OS1 tầng cao view trực diện sông, công viên Vinwonder","8,9 tỷ",100 m²,3,2,"Quận 9, Hồ Chí Minh"," Phường Long Bình,  Quận 9,  Hồ Chí Minh",10.7589554,106.6730492,0,0.0,0.0,0.0,0.0,0.0,0.0
"Bán BT đơn lập cực đẹp 3MT đường, diện tích 206m2 xây 3T trục đường Đại Mỗ Nam TL.","63,5 tỷ",206 m²,5,5,"Nam Từ Liêm, Hà Nội","Đường Đại Mỗ, Phường Đại Mỗ, Nam Từ Liêm, Hà Nội",20.98737736,105.766857,0,0.0,0.0,0.0,0.0,0.0,0.0
Chính chủ bán nhà phố 2 mặt tiền trước sau,"5,95 tỷ","45,3 m²",3,4,"Gò Vấp, Hồ Chí Minh","Đường Lê Đức Thọ, Phường 13, Gò Vấp, Hồ Chí Minh",10.8187905,106.6791511,0,0.0,0.0,0.0,0.0,0.0,0.0
"Bán biệt thự giá F0 từ Chủ đầu tư, miễn lãi và ân hạn gốc 12 tháng",11 tỷ,180 m²,4,5,"Từ Sơn, Bắc Ninh"," Đường Hữu Nghị,  Phường Phù Chẩn,  Từ Sơn,  Bắc Ninh",21.08308623,105.9652381,0,0.0,0.0,0.0,0.0,0.0,0.0
"Nhà Lk Vạn Phúc 46m2*6T, mặt sau Him Lam, full nội thất, giá 15.9 tỷ","15,9 tỷ","46,3 m²",4,5,"Hà Đông, Hà Nội","Phố Vạn Phúc, Phường Vạn Phúc, Hà Đông, Hà Nội",20.9706711,105.7754762,0,0.0,0.0,0.0,0.0,0.0,0.0
"Siêu phẩm 6 tầng Luxury có thang máy mặt tiền nhánh 8m Nguyễn Ảnh Thủ, P. Tân Chánh Hiệp, Quận 12","8,19 tỷ",82 m²,4,6,"Quận 12, Hồ Chí Minh","Đường Nguyễn Ảnh Thủ, Phường Tân Chánh Hiệp, Quận 12, Hồ Chí Minh",10.87103948,106.6213959,0,0.0,0.0,0.0,0.0,0.0,0.0
"Tập đoàn BRG mở bán căn hộ biển Đà Nẵng giá chỉ từ 4,8 tỷ - Newtown Diamond - Sân golf 36 hố","4,8 tỷ",73 m²,2,2,"Ngũ Hành Sơn, Đà Nẵng"," Đường Trường Sa,  Phường Hòa Hải,  Ngũ Hành Sơn,  Đà Nẵng",16.01237419,108.262408,0,0.0,0.0,0.0,0.0,0.0,0.0
Chuyên căn hộ Era Town Quận 7 giá tốt! 67m2 - 2PN 2WC full nội thất chỉ 1 tỷ 840. LH: 0938 371 ***,"1,84 tỷ",67 m²,2,2,"Quận 7, Hồ Chí Minh"," Phường Phú Mỹ,  Quận 7,  Hồ Chí Minh",10.7061532,106.7378425,0,0.0,0.0,0.0,0.0,0.0,0.0
"Chính chủ cần bán căn nhà phố Đông Ngạc - 30m2 - 4 tầng - 5,3 tỷ - 15m ra ngõ ô tô tránh","5,3 tỷ",30 m²,5,3,"Bắc Từ Liêm, Hà Nội","Ngõ 81, đường Đông Ngạc, Phường Đông Ngạc, Bắc Từ Liêm, Hà Nội",21.09229035,105.7818826,0,0.0,0.0,0.0,0.0,0.0,0.0
"Chỉ thanh toán 440 triệu sở hữu ngay căn hộ 2PN2WC giỏ hàng CĐT, CH The Maison tháng 5 bàn giao nhà",2 tỷ,70 m²,2,2,"Thủ Dầu Một, Bình Dương"," Đường Phan Bội Châu,  Phường Phú Thọ,  Thủ Dầu Một,  Bình Dương",10.9598993,106.6698217,0,0.0,0.0,0.0,0.0,0.0,0.0
Bán ngay dự án The Vista vị trí trung tâm thành phố - Booking chỉ với 50tr - Sở hữu lâu dài,Giá thỏa thuận,76 m²,2,2,"Hải Châu, Đà Nẵng"," Đường Xô Viết Nghệ Tĩnh,  Phường Hòa Cường Nam,  Hải Châu,  Đà Nẵng",16.03243564,108.2197473,0,0.0,0.0,0.0,0.0,0.0,0.0
"Bán căn hộ chung cư Eco Green City, 4,4 tỷ, 67m2, 2PN, 2WC, giá tốt","4,4 tỷ",67 m²,2,2,"Thanh Trì, Hà Nội"," Đường Nguyễn Xiển,  Xã Tân Triều,  Thanh Trì,  Hà Nội",20.98294964,105.809326,0,0.0,0.0,0.0,0.0,0.0,0.0
"Quỹ căn hộ giá tốt nhất tại Vinhomes Smart City - An cư lý tưởng, Đầu tư sinh lời !","3,8 tỷ",61 m²,2,2,"Nam Từ Liêm, Hà Nội"," Phường Tây Mỗ,  Nam Từ Liêm,  Hà Nội",21.0096762,105.7445572,0,0.0,0.0,0.0,0.0,0.0,0.0
"Hiếm, mặt tiền Phú Thọ Hoà, 4x18m (SD 72m2), 2 tầng, giá 14,9 tỷ TL","14,9 tỷ",72 m²,2,2,"Tân Phú, Hồ Chí Minh","Đường Phú Thọ Hòa, Phường Phú Thọ Hòa, Tân Phú, Hồ Chí Minh",10.7856487,106.6343955,0,0.0,0.0,0.0,0.0,0.0,0.0
Sapphire Gem sở hữu vị trí vàng - đón đầu tiềm năng tăng giá,"8,15 tỷ",154 m²,4,4,"Thủy Nguyên, Hải Phòng"," Phường Thủy Đường,  Thủy Nguyên,  Hải Phòng",20.9204971,106.6805479,0,0.0,0.0,0.0,0.0,0.0,0.0
Sở hữu căn hộ Sài Gòn Intela chỉ với 600tr,"1,53 tỷ",55 m²,2,2,"Bình Chánh, Hồ Chí Minh"," Đường Nguyễn Văn Linh,  Xã Phong Phú,  Bình Chánh,  Hồ Chí Minh",10.6968222,106.6546923,0,0.0,0.0,0.0,0.0,0.0,0.0
"Bán MT Tô Ngọc Vân, Linh Đông. Ngang 20m*20m=370m2. Hđ thuê 160tr/tháng thu nét. Giá bán 60 tỷ TL",60 tỷ,370 m²,1,1,"Thủ Đức, Hồ Chí Minh","Đường Tô Ngọc Vân, Phường Linh Đông, Thủ Đức, Hồ Chí Minh",10.85812542,106.7490253,0,0.0,0.0,0.0,0.0,0.0,0.0
"CC cần bán gấp căn 1N + 43m2 full đồ, thiết kế 2N giá 2.98 tỷ","2,98 tỷ",43 m²,2,1,"Nam Từ Liêm, Hà Nội"," Phường Tây Mỗ,  Nam Từ Liêm,  Hà Nội",21.0096762,105.7445572,0,0.0,0.0,0.0,0.0,0.0,0.0
"Chính chủ bán nhà riêng gần trường tiểu học/trung học cơ sở Kim Giang, Phố Hoàng Đạo Thành","13,5 tỷ","42,7 m²",2,2,"Thanh Xuân, Hà Nội","Số 14 ngách 55, ngõ 64, Đường Kim Giang, Phường Hạ Đình, Thanh Xuân, Hà Nội",20.98266639,105.8156994,0,0.0,0.0,0.0,0.0,0.0,0.0
Phố Nguyễn Văn lộc siêu kinh doanh - nở hậu - trung tâm quận - đối diện học viện an ninh,33 tỷ,105 m²,6,6,"Hà Đông, Hà Nội","Đường Nguyễn Văn Lộc, Phường Mỗ Lao, Hà Đông, Hà Nội",20.9821715,105.7842539,0,0.0,0.0,0.0,0.0,0.0,0.0
"Phải thật nhanh nhà dân xây Vĩnh Phúc, Hoàng Hoa Thám, Ba Đình 50m2x3T 4 ngủ giá siêu rẻ 6,8 tỷ","6,8 tỷ",50 m²,4,3,"Ba Đình, Hà Nội","Ngõ 75, Đường Vĩnh Phúc, Phường Vĩnh Phúc, Ba Đình, Hà Nội",21.04287922,105.8083381,0,0.0,0.0,0.0,0.0,0.0,0.0
"The Filmore giỏ hàng 23 căn từ CDT, chiết khấu 16% tháng 3 tặng tivi 75in hoặc trừ vào giá bán 40tr","4,7 tỷ",51 m²,1,1,"Hải Châu, Đà Nẵng"," Đường Bạch Đằng,  Phường Bình Thuận,  Hải Châu,  Đà Nẵng",16.05489458,108.2236461,0,0.0,0.0,0.0,0.0,0.0,0.0
"TỔNG HỢP, Quỹ căn hộ BRG Diamond Park Plaza, 1PN-2PN-3PN, 16 Láng Hạ mới nhất VIEW Hồ.","18,75 tỷ",125 m²,3,2,"Ba Đình, Hà Nội","Diamond Park Plaza , Láng Hạ, Thành Công, Ba Đình, Hà Nội",21.01664035,105.8138106,0,0.0,0.0,0.0,0.0,0.0,0.0
Đón sóng Từ Sơn về Hà Nội CĐT mở bán quỹ căn siêu vip giá F0 tại Bắc Ninh. Sổ hồng sở hữu nâu dài,11 tỷ,180 m²,3,4,"Từ Sơn, Bắc Ninh"," Đường Hữu Nghị,  Phường Phù Chẩn,  Từ Sơn,  Bắc Ninh",21.08308623,105.9652381,0,0.0,0.0,0.0,0.0,0.0,0.0
"5 căn ưu đãi. Nhỉnh 1 tỷ mua căn 2PN, 3PN. Chỉ từ 60tr/m2. Vay 0%/24T, CK 10%, quà tặng 1 cây vàng",5 tỷ,90 m²,2,2,"Hoàng Mai, Hà Nội"," Đường Bằng Liệt,  Phường Hoàng Liệt,  Hoàng Mai,  Hà Nội",20.966795,105.824457,0,0.0,0.0,0.0,0.0,0.0,0.0
"Quỹ căn Vinhomes Skylake Phạm Hùng, Mỹ Đình, Nam Từ Liêm 3PN giá tốt nhất T3/2025",8 tỷ,90 m²,3,2,"Nam Từ Liêm, Hà Nội"," Đường Phạm Hùng,  Phường Mỹ Đình 1,  Nam Từ Liêm,  Hà Nội.",21.02017478,105.7799731,0,0.0,0.0,0.0,0.0,0.0,0.0
Bán căn hộ chung cư 130m2 vew hồ điều hoà,7 tỷ,130 m²,3,2,"Nam Từ Liêm, Hà Nội"," Đường Tố Hữu,  Phường Trung Văn,  Nam Từ Liêm,  Hà Nội",20.9921504,105.7838655,0,0.0,0.0,0.0,0.0,0.0,0.0
"Chính chủ cần bán nhà đường XVNT, P.26, Q.Bình Thạnh, đường ôtô né nhau, xe tải quay đầu thoải mái","10,9 tỷ",65 m²,3,3,"Bình Thạnh, Hồ Chí Minh","Đường Xô Viết Nghệ Tĩnh, Phường 26, Bình Thạnh, Hồ Chí Minh",10.80633469,106.7115558,0,0.0,0.0,0.0,0.0,0.0,0.0
"Chính chủ bán căn hộ 90m², phòng 14.6 tòa nhà Vimeco 1, Trung Hòa, Cầu Giấy","6,85 tỷ",90 m²,3,2,"Cầu Giấy, Hà Nội"," Đường Phạm Hùng,  Phường Trung Hòa,  Cầu Giấy,  Hà Nội",21.0084017,105.7899445,0,0.0,0.0,0.0,0.0,0.0,0.0
Quỹ căn cần bán gấp 03/2025 tại Royal City. Cam kết có slot oto. Full tiện ích 5sao. LH 0375 122 ***,"10,2 tỷ",130 m²,3,2,"Thanh Xuân, Hà Nội","Royal City, Nguyễn Trãi, Thượng Đình, Thanh Xuân, Hà Nội",21.0043562,105.8159117,0,0.0,0.0,0.0,0.0,0.0,0.0
"Cần bán căn hộ 2PN2WC Ruby Vinhomes Ocean Park Gia Lâm diện tích 68m giá bán 4,350tỷ LH 0923 468 ***","4,35 tỷ",68 m²,2,2,"Gia Lâm, Hà Nội"," Đường Đông Dư,  Thị trấn Trâu Quỳ,  Gia Lâm,  Hà Nội",21.00686405,105.9511242,0,0.0,0.0,0.0,0.0,0.0,0.0
"Chính chủ cắt lỗ bán nhanh căn hộ 2PN Sunshine Sky City Tòa S3 DT 77,5m2, tầng cao view đẹp có TL","5,5 tỷ","77,5 m²",2,2,"Quận 7, Hồ Chí Minh"," Đường Phú Thuận,  Phường Tân Phú,  Quận 7,  Hồ Chí Minh",10.73028113,106.7307725,0,0.0,0.0,0.0,0.0,0.0,0.0
"Chính chủ bán nhà riêng 6 tầng x 51m2, thang máy, lô góc, full nội thất, Nguyễn Văn Cừ, ngõ 3m","9,55 tỷ",51 m²,3,5,"Long Biên, Hà Nội","Đường Nguyễn Văn Cừ, Phường Gia Thụy, Long Biên, Hà Nội",21.04870323,105.8819132,0,0.0,0.0,0.0,0.0,0.0,0.0
"HimLam ra hàng mới nhất, quỹ các căn shophouse đường Lý Tử Tấn. Đường 33m + vỉa hè 5m. Giá từ 17 tỷ","18,5 tỷ","88,3 m²",6,7,"Thường Tín, Hà Nội","Him Lam Thường Tín, Đường Trần Phú, Thị trấn Thường Tín, Thường Tín, Hà Nội",20.7831795,105.9130643,0,0.0,0.0,0.0,0.0,0.0,0.0
"Bán căn hộ Iris Garden 30 Trần Hữu Dực, DT 60,7 đến 135m2 2 và 3 ngủ 4,5 tỷ đến 8,3 tỷ xem nhà 24/7",Giá thỏa thuận,"60,7 m²",2,2,"Nam Từ Liêm, Hà Nội","Iris Garden, 30, Đường Trần Hữu Dực, Phường Cầu Diễn, Nam Từ Liêm, Hà Nội",21.0345973,105.7625765,0,0.0,0.0,0.0,0.0,0.0,0.0
Căn hộ biển Quy Nhơn - Sở hữu lâu dài (thuê lại sau khi khách hàng nhận bàn giao căn hộ),Giá thỏa thuận,46 m²,1,1,"Quy Nhơn, Bình Định","Simona Heights , 145A, Đường Trần Hưng Đạo, Phường Thị Nại, Quy Nhơn, Bình Định",13.7813348,109.2262725,0,0.0,0.0,0.0,0.0,0.0,0.0
"Bán nhà 2 mặt tiền phố Phạm Huy Thông, 9,9 tỷ, 70m2, 2PN, 2WC, Gò Vấp, HCM","9,9 tỷ",70 m²,2,2,"Gò Vấp, Hồ Chí Minh","Đường Phạm Huy Thông, Phường 7, Gò Vấp, Hồ Chí Minh",10.8408087,106.6751861,0,0.0,0.0,0.0,0.0,0.0,0.0
Bán gấp căn hộ chính chủ TimesCity - Park Hill giá rẻ nhất thị trường t3/2025. LH 0968 108 ***,"7,3 tỷ",95 m²,2,2,"Hai Bà Trưng, Hà Nội","Times City, Minh Khai, Vĩnh Tuy, Hai Bà Trưng, Hà Nội",20.9959723,105.8667531,0,0.0,0.0,0.0,0.0,0.0,0.0
"Bán biệt thự 320m2 tại phường Long Toàn, TP - Bà Rịa","12,1 tỷ",320 m²,4,4,"Bà Rịa, Bà Rịa Vũng Tàu","Phường Long Toàn, Bà Rịa, Bà Rịa Vũng Tàu",10.4934352,107.1953109,0,0.0,0.0,0.0,0.0,0.0,0.0
"Nội bộ CĐT bán 2PN 71,82m2 The Rivana giá 102% chỉ 2tỷ490 (SHR) - mặt tiền QL13 & view sông Sài Gòn","2,49 tỷ","71,82 m²",2,2,"Thuận An, Bình Dương"," Đường Quốc Lộ 13,  Phường Vĩnh Phú,  Thuận An,  Bình Dương",10.8723579,106.7047852,0,0.0,0.0,0.0,0.0,0.0,0.0
"Akari City 2PN1WC 2.650 tỷ, 2PN2WC 3.2 tỷ, 80m2/3,6 tỷ, 3.25 tỷ/62m2. đã có sổ hồng. trực tiếp CĐT","3,2 tỷ",75 m²,2,2,"Bình Tân, Hồ Chí Minh"," Đường Võ Văn Kiệt,  Phường An Lạc,  Bình Tân,  Hồ Chí Minh",10.72606923,106.6198035,0,0.0,0.0,0.0,0.0,0.0,0.0
"Nhà đẹp, giá tốt. Thương lượng chính chủ. Hỗ trợ vay ngân hàng. Không tiếp môi giới","8,7 tỷ","79,4 m²",4,5,"Đà Lạt, Lâm Đồng","Phố Phù Đổng Thiên Vương, Phường 8, Đà Lạt, Lâm Đồng",11.9648407,108.4431979,0,0.0,0.0,0.0,0.0,0.0,0.0
Cần bán căn hộ 8x Plus 67m2 2PN 2WC giá 2.5 tỷ đã có sổ hồng,"2,5 tỷ",67 m²,2,2,"Quận 12, Hồ Chí Minh"," Đường Trường Chinh,  Phường Tân Thới Nhất,  Quận 12,  Hồ Chí Minh",10.82861345,106.6179298,0,0.0,0.0,0.0,0.0,0.0,0.0
"Bán căn 2PN góc giá siêu tốt giai đoạn đầu, thanh toán giãn đến năm 2028","8,7 tỷ",74 m²,2,2,"Quận 2, Hồ Chí Minh"," Đường Mai Chí Thọ,  Phường An Phú,  Quận 2,  Hồ Chí Minh",10.7365876,106.7120245,0,0.0,0.0,0.0,0.0,0.0,0.0
Chính chủ bán nhà số 47 Phố Chợ Đôn - Lê Chân - Hải Phòng,Giá thỏa thuận,60 m²,4,3,"Lê Chân, Hải Phòng","Phường Nghĩa Xá, Lê Chân, Hải Phòng",20.8391035,106.6699841,0,0.0,0.0,0.0,0.0,0.0,0.0
"Căn hộ 2PN 2VS giá chỉ từ 2,3tỷ. Dự Án Vic Grand Square Việt Trì. Vốn ban đầu ~700tr(30%GTCH)","2,2 tỷ",68 m²,2,2,"Việt Trì, Phú Thọ"," Đường Hùng Vương,  Phường Gia Cẩm,  Việt Trì,  Phú Thọ",21.3136067,105.3946301,0,0.0,0.0,0.0,0.0,0.0,0.0
"Chỉ 250 triệu sở hữu căn hộ TT Thành Phố Phú Mỹ, tỉ suất lợi nhuận cho thuê hơn TP HCM, Bình Dương",Giá thỏa thuận,65 m²,2,2,"Phú Mỹ, Bà Rịa Vũng Tàu"," Đường Quốc Lộ 51,  Phường Phú Mỹ,  Phú Mỹ,  Bà Rịa Vũng Tàu",10.5711506,107.0547622,0,0.0,0.0,0.0,0.0,0.0,0.0
"Chính chủ cần bán căn hộ 73m2 toà C tầng 6 CC Eco City Việt Hưng, full nội thất cách Hồ Gươm 6,5km",4 tỷ,73 m²,2,2,"Long Biên, Hà Nội"," Phường Giang Biên,  Long Biên,  Hà Nội",21.064662,105.9176926,0,0.0,0.0,0.0,0.0,0.0,0.0
Em Toàn chuyên chuyển nhượng căn hộ tại CC Florence - 28 Trần Hữu Dực. Cập nhật quỹ căn,"6,75 tỷ","91,5 m²",3,2,"Nam Từ Liêm, Hà Nội","Florence Mỹ Đình, 28, Đường Trần Hữu Dực, Phường Cầu Diễn, Nam Từ Liêm, Hà Nội",21.0345973,105.7625765,0,0.0,0.0,0.0,0.0,0.0,0.0
"Bán shophouse Jamila Khang Điền tại đường Song Hành, Quận 9, TP. HCM, 115 m2 giá tốt","7,2 tỷ",115 m²,1,2,"Quận 9, Hồ Chí Minh"," Đường Song Hành,  Phường Phú Hữu,  Quận 9,  Hồ Chí Minh",10.7608529,106.7012374,0,0.0,0.0,0.0,0.0,0.0,0.0
"Căn rẻ nhất thị trường. View đẹp, giá tốt giai đoạn đầu. Chiết khấu 23.8%, tặng thêm 500tr","5,9 tỷ",120 m²,3,4,"Cam Ranh, Khánh Hòa","Sông Town, Đường Nguyễn Tất Thành, Phường Cam Nghĩa, Thành phố Cam Ranh, Khánh Hòa",11.9881329,109.1913472,0,0.0,0.0,0.0,0.0,0.0,0.0
"Chính chủ định cư nước ngoài cần bán gấp nhà số 15 Phường Bình An ,Thành phố Thủ Đức , pháp lý sạch",35 tỷ,168 m²,4,5,"Quận 2, Hồ Chí Minh","Đường Số 40, Phường Bình An, Quận 2, Hồ Chí Minh",10.8499431,106.767018,0,0.0,0.0,0.0,0.0,0.0,0.0
"Độc quyền chính chủ cần bán căn 2 phòng ngủ tầng cao view ngắm pháo hoa, quận 1, giá chỉ 15,9 tỷ","15,9 tỷ",76 m²,2,2,"Quận 2, Hồ Chí Minh"," Đường Đại Lộ Vòng Cung,  Phường Thủ Thiêm,  Quận 2,  Hồ Chí Minh.",10.80484845,106.7167622,0,0.0,0.0,0.0,0.0,0.0,0.0
"Giỏ hàng độc quyền căn hoa hậu Hy Lạp Sông Town, giá giai đoạn đầu, tặng 500tr","9,5 tỷ","122,4 m²",3,4,"Cam Ranh, Khánh Hòa"," Đường Nguyễn Tất Thành,  Phường Cam Nghĩa,  Cam Ranh,  Khánh Hòa",11.9881329,109.1913472,0,0.0,0.0,0.0,0.0,0.0,0.0
